index,0,1,Color
1550,-0.0034641016151373506,6.41132460336294e-38,-1
1551,-0.0034641016151373506,6.41132460336294e-38,-1
1552,-0.0034641016151373506,6.41132460336294e-38,-1
1553,-0.0034641016151373506,6.41132460336294e-38,-1
1554,-0.0034641016151373506,6.41132460336294e-38,-1
1555,-0.0034641016151373506,6.41132460336294e-38,-1
1556,-0.0034641016151373506,6.41132460336294e-38,3
1557,-0.0034641016151373506,6.41132460336294e-38,-1
1558,-0.0034641016151373506,6.41132460336294e-38,-1
1559,-0.0034641016151373506,6.41132460336294e-38,-1
1560,-0.0034641016151373506,6.41132460336294e-38,3
1561,-0.0034641016151373506,6.41132460336294e-38,3
1562,-0.0034641016151373506,6.41132460336294e-38,-1
1563,-0.0034641016151373506,6.41132460336294e-38,-1
1564,-0.0034641016151373506,6.41132460336294e-38,-1
1565,-0.0034641016151373506,6.41132460336294e-38,-1
1566,-0.0034641016151373506,6.41132460336294e-38,3
1567,-0.0034641016151373506,6.41132460336294e-38,3
1568,-0.0034641016151373506,6.41132460336294e-38,-1
1569,-0.0034641016151373506,6.41132460336294e-38,-1
1570,-0.0034641016151373506,6.41132460336294e-38,-1
1571,-0.0034641016151373506,6.41132460336294e-38,-1
1572,-0.0034641016151373506,6.41132460336294e-38,-1
1573,-0.0034641016151373506,6.41132460336294e-38,3
1574,-0.0034641016151373506,6.41132460336294e-38,-1
1575,-0.0034641016151373506,6.41132460336294e-38,-1
1576,-0.0034641016151373506,6.41132460336294e-38,-1
1577,-0.0034641016151373506,6.41132460336294e-38,-1
1578,-0.0034641016151373506,6.41132460336294e-38,-1
1579,-0.0034641016151373506,6.41132460336294e-38,3
1580,-0.0034641016151373506,6.41132460336294e-38,-1
1581,-0.0034641016151373506,6.41132460336294e-38,-1
1582,1.7285867059537294,-2.4594548537567238e-36,2
1583,-0.0034641016151373506,6.41132460336294e-38,-1
1584,-0.0034641016151373506,6.41132460336294e-38,-1
1585,-0.0034641016151373506,6.41132460336294e-38,3
1586,-0.0034641016151373506,6.41132460336294e-38,-1
1587,-0.0034641016151373506,6.41132460336294e-38,-1
1588,-0.0034641016151373506,6.41132460336294e-38,-1
1589,-0.0034641016151373506,6.41132460336294e-38,-1
1590,-0.0034641016151373506,6.41132460336294e-38,3
1591,-0.0034641016151373506,6.41132460336294e-38,-1
1592,-0.0034641016151373506,6.41132460336294e-38,-1
1593,-0.0034641016151373506,6.41132460336294e-38,3
1594,-0.0034641016151373506,6.41132460336294e-38,-1
1595,-0.0034641016151373506,6.41132460336294e-38,3
1596,-0.0034641016151373506,6.41132460336294e-38,-1
1597,-0.0034641016151373506,6.41132460336294e-38,3
1598,-0.0034641016151373506,6.41132460336294e-38,3
1599,-0.0034641016151373506,6.41132460336294e-38,3
1600,-0.0034641016151373506,6.41132460336294e-38,-1
1601,-0.0034641016151373506,6.41132460336294e-38,-1
1602,-0.0034641016151373506,6.41132460336294e-38,-1
1603,-0.0034641016151373506,6.41132460336294e-38,-1
1604,-0.0034641016151373506,6.41132460336294e-38,-1
1605,-0.0034641016151373506,6.41132460336294e-38,3
1606,-0.0034641016151373506,6.41132460336294e-38,-1
1607,-0.0034641016151373506,6.41132460336294e-38,-1
1608,-0.0034641016151373506,6.41132460336294e-38,3
1609,-0.0034641016151373506,6.41132460336294e-38,-1
1610,-0.0034641016151373506,6.41132460336294e-38,-1
1611,-0.0034641016151373506,6.41132460336294e-38,3
1612,-0.0034641016151373506,6.41132460336294e-38,-1
1613,-0.0034641016151373506,6.41132460336294e-38,-1
1614,-0.0034641016151373506,6.41132460336294e-38,-1
1615,-0.0034641016151373506,6.41132460336294e-38,-1
1616,-0.0034641016151373506,6.41132460336294e-38,-1
1617,-0.0034641016151373506,6.41132460336294e-38,-1
1618,-0.0034641016151373506,6.41132460336294e-38,3
1619,-0.0034641016151373506,6.41132460336294e-38,-1
1620,-0.0034641016151373506,6.41132460336294e-38,-1
1621,-0.0034641016151373506,6.41132460336294e-38,3
1622,-0.0034641016151373506,6.41132460336294e-38,-1
1623,-0.0034641016151373506,6.41132460336294e-38,3
1624,-0.0034641016151373506,6.41132460336294e-38,-1
1625,-0.0034641016151373506,6.41132460336294e-38,-1
1626,-0.0034641016151373506,6.41132460336294e-38,3
1627,-0.0034641016151373506,6.41132460336294e-38,3
1628,-0.0034641016151373506,6.41132460336294e-38,3
1629,-0.0034641016151373506,6.41132460336294e-38,-1
1630,-0.0034641016151373506,6.41132460336294e-38,-1
1631,-0.0034641016151373506,6.41132460336294e-38,-1
1632,-0.0034641016151373506,6.41132460336294e-38,3
1633,-0.0034641016151373506,6.41132460336294e-38,-1
1634,-0.0034641016151373506,6.41132460336294e-38,-1
1635,-0.0034641016151373506,6.41132460336294e-38,3
1636,-0.0034641016151373506,6.41132460336294e-38,3
1637,-0.0034641016151373506,6.41132460336294e-38,-1
1638,-0.0034641016151373506,6.41132460336294e-38,3
1639,-0.0034641016151373506,6.41132460336294e-38,-1
1640,-0.0034641016151373506,6.41132460336294e-38,-1
1641,-0.0034641016151373506,6.41132460336294e-38,-1
1642,-0.0034641016151373506,6.41132460336294e-38,-1
1643,-0.0034641016151373506,6.41132460336294e-38,-1
1644,-0.0034641016151373506,6.41132460336294e-38,-1
1645,-0.0034641016151373506,6.41132460336294e-38,-1
1646,-0.0034641016151373506,6.41132460336294e-38,-1
1647,-0.0034641016151373506,6.41132460336294e-38,3
1648,-0.0034641016151373506,6.41132460336294e-38,3
1649,-0.0034641016151373506,6.41132460336294e-38,-1
1650,-0.0034641016151373506,6.41132460336294e-38,-1
1651,-0.0034641016151373506,6.41132460336294e-38,-1
1652,-0.0034641016151373506,6.41132460336294e-38,-1
1653,-0.0034641016151373506,6.41132460336294e-38,-1
1654,-0.0034641016151373506,6.41132460336294e-38,3
1655,-0.0034641016151373506,6.41132460336294e-38,-1
1656,-0.0034641016151373506,6.41132460336294e-38,-1
1657,-0.0034641016151373506,6.41132460336294e-38,-1
1658,-0.0034641016151373506,6.41132460336294e-38,-1
1659,-0.0034641016151373506,6.41132460336294e-38,3
1660,-0.0034641016151373506,6.41132460336294e-38,-1
1661,-0.0034641016151373506,6.41132460336294e-38,-1
1662,-0.0034641016151373506,6.41132460336294e-38,-1
1663,-0.0034641016151373506,6.41132460336294e-38,-1
1664,-0.0034641016151373506,6.41132460336294e-38,-1
1665,-0.0034641016151373506,6.41132460336294e-38,-1
1666,-0.0034641016151373506,6.41132460336294e-38,-1
1667,-0.0034641016151373506,6.41132460336294e-38,-1
1668,-0.0034641016151373506,6.41132460336294e-38,-1
1669,-0.0034641016151373506,6.41132460336294e-38,-1
1670,-0.0034641016151373506,6.41132460336294e-38,-1
1671,-0.0034641016151373506,6.41132460336294e-38,-1
1672,-0.0034641016151373506,6.41132460336294e-38,-1
1673,-0.0034641016151373506,6.41132460336294e-38,-1
1674,-0.0034641016151373506,6.41132460336294e-38,-1
1675,-0.0034641016151373506,6.41132460336294e-38,-1
1676,-0.0034641016151373506,6.41132460336294e-38,3
1677,-0.0034641016151373506,6.41132460336294e-38,-1
1678,-0.0034641016151373506,6.41132460336294e-38,-1
1679,-0.0034641016151373506,6.41132460336294e-38,-1
1680,-0.0034641016151373506,6.41132460336294e-38,3
1681,-0.0034641016151373506,6.41132460336294e-38,-1
1682,-0.0034641016151373506,6.41132460336294e-38,-1
1683,-0.0034641016151373506,6.41132460336294e-38,-1
1684,-0.0034641016151373506,6.41132460336294e-38,-1
1685,-0.0034641016151373506,6.41132460336294e-38,-1
1686,-0.0034641016151373506,6.41132460336294e-38,-1
1687,-0.0034641016151373506,6.41132460336294e-38,-1
1688,-0.0034641016151373506,6.41132460336294e-38,-1
1689,-0.0034641016151373506,6.41132460336294e-38,3
1690,-0.0034641016151373506,6.41132460336294e-38,-1
1691,-0.0034641016151373506,6.41132460336294e-38,-1
1692,-0.0034641016151373506,6.41132460336294e-38,-1
1693,-0.0034641016151373506,6.41132460336294e-38,3
1694,-0.0034641016151373506,6.41132460336294e-38,-1
1695,-0.0034641016151373506,6.41132460336294e-38,-1
1696,-0.0034641016151373506,6.41132460336294e-38,-1
1697,-0.0034641016151373506,6.41132460336294e-38,3
1698,-0.0034641016151373506,6.41132460336294e-38,3
1699,-0.0034641016151373506,6.41132460336294e-38,3
1700,-0.0034641016151373506,6.41132460336294e-38,-1
1701,-0.0034641016151373506,6.41132460336294e-38,-1
1702,-0.0034641016151373506,6.41132460336294e-38,-1
1703,-0.0034641016151373506,6.41132460336294e-38,-1
1704,-0.0034641016151373506,6.41132460336294e-38,-1
1705,-0.0034641016151373506,6.41132460336294e-38,-1
1706,-0.0034641016151373506,6.41132460336294e-38,-1
1707,-0.0034641016151373506,6.41132460336294e-38,3
1708,-0.0034641016151373506,6.41132460336294e-38,-1
1709,-0.0034641016151373506,6.41132460336294e-38,-1
1710,-0.0034641016151373506,6.41132460336294e-38,-1
1711,-0.0034641016151373506,6.41132460336294e-38,-1
1712,-0.0034641016151373506,6.41132460336294e-38,-1
1713,-0.0034641016151373506,6.41132460336294e-38,-1
1714,-0.0034641016151373506,6.41132460336294e-38,3
1715,-0.0034641016151373506,6.41132460336294e-38,-1
1716,-0.0034641016151373506,6.41132460336294e-38,3
1717,-0.0034641016151373506,6.41132460336294e-38,-1
1718,-0.0034641016151373506,6.41132460336294e-38,-1
1719,-0.0034641016151373506,6.41132460336294e-38,-1
1720,-0.0034641016151373506,6.41132460336294e-38,-1
1721,-0.0034641016151373506,6.41132460336294e-38,-1
1722,-0.0034641016151373506,6.41132460336294e-38,3
1723,-0.0034641016151373506,6.41132460336294e-38,-1
1724,-0.0034641016151373506,6.41132460336294e-38,3
1725,-0.0034641016151373506,6.41132460336294e-38,-1
1726,-0.0034641016151373506,6.41132460336294e-38,3
1727,-0.0034641016151373506,6.41132460336294e-38,3
1728,-0.0034641016151373506,6.41132460336294e-38,-1
1729,-0.0034641016151373506,6.41132460336294e-38,3
1730,-0.0034641016151373506,6.41132460336294e-38,3
1731,-0.0034641016151373506,6.41132460336294e-38,-1
1732,-0.0034641016151373506,6.41132460336294e-38,3
1733,-0.0034641016151373506,6.41132460336294e-38,-1
1734,-0.0034641016151373506,6.41132460336294e-38,-1
1735,-0.0034641016151373506,6.41132460336294e-38,-1
1736,-0.0034641016151373506,6.41132460336294e-38,-1
1737,-0.0034641016151373506,6.41132460336294e-38,-1
1738,-0.0034641016151373506,6.41132460336294e-38,-1
1739,-0.0034641016151373506,6.41132460336294e-38,-1
1740,-0.0034641016151373506,6.41132460336294e-38,-1
1741,-0.0034641016151373506,6.41132460336294e-38,-1
1742,-0.0034641016151373506,6.41132460336294e-38,-1
1743,-0.0034641016151373506,6.41132460336294e-38,-1
1744,-0.0034641016151373506,6.41132460336294e-38,-1
1745,-0.0034641016151373506,6.41132460336294e-38,3
1746,-0.0034641016151373506,6.41132460336294e-38,-1
1747,-0.0034641016151373506,6.41132460336294e-38,-1
1748,-0.0034641016151373506,6.41132460336294e-38,-1
1749,-0.0034641016151373506,6.41132460336294e-38,-1
1750,-0.0034641016151373506,6.41132460336294e-38,-1
1751,-0.0034641016151373506,6.41132460336294e-38,-1
1752,-0.0034641016151373506,6.41132460336294e-38,3
1753,-0.0034641016151373506,6.41132460336294e-38,-1
1754,-0.0034641016151373506,6.41132460336294e-38,3
1755,-0.0034641016151373506,6.41132460336294e-38,-1
1756,-0.0034641016151373506,6.41132460336294e-38,3
1757,-0.0034641016151373506,6.41132460336294e-38,-1
1758,-0.0034641016151373506,6.41132460336294e-38,-1
1759,-0.0034641016151373506,6.41132460336294e-38,3
1760,-0.0034641016151373506,6.41132460336294e-38,-1
1761,-0.0034641016151373506,6.41132460336294e-38,-1
1762,-0.0034641016151373506,6.41132460336294e-38,3
1763,-0.0034641016151373506,6.41132460336294e-38,-1
1764,-0.0034641016151373506,6.41132460336294e-38,-1
1765,-0.0034641016151373506,6.41132460336294e-38,-1
1766,-0.0034641016151373506,6.41132460336294e-38,-1
1767,-0.0034641016151373506,6.41132460336294e-38,-1
1768,-0.0034641016151373506,6.41132460336294e-38,-1
1769,-0.0034641016151373506,6.41132460336294e-38,-1
1770,-0.0034641016151373506,6.41132460336294e-38,-1
1771,-0.0034641016151373506,6.41132460336294e-38,-1
1772,-0.0034641016151373506,6.41132460336294e-38,3
1773,-0.0034641016151373506,6.41132460336294e-38,-1
1774,-0.0034641016151373506,6.41132460336294e-38,-1
1775,-0.0034641016151373506,6.41132460336294e-38,-1
1776,-0.0034641016151373506,6.41132460336294e-38,-1
1777,-0.0034641016151373506,6.41132460336294e-38,-1
1778,-0.0034641016151373506,6.41132460336294e-38,-1
1779,-0.0034641016151373506,6.41132460336294e-38,-1
1780,-0.0034641016151373506,6.41132460336294e-38,3
1781,-0.0034641016151373506,6.41132460336294e-38,-1
1782,-0.0034641016151373506,6.41132460336294e-38,3
1783,-0.0034641016151373506,6.41132460336294e-38,3
1784,-0.0034641016151373506,6.41132460336294e-38,-1
1785,-0.0034641016151373506,6.41132460336294e-38,-1
1786,-0.0034641016151373506,6.41132460336294e-38,-1
1787,-0.0034641016151373506,6.41132460336294e-38,3
1788,-0.0034641016151373506,6.41132460336294e-38,-1
1789,-0.0034641016151373506,6.41132460336294e-38,-1
1790,-0.0034641016151373506,6.41132460336294e-38,-1
1791,-0.0034641016151373506,6.41132460336294e-38,-1
1792,-0.0034641016151373506,6.41132460336294e-38,3
1793,-0.0034641016151373506,6.41132460336294e-38,-1
1794,-0.0034641016151373506,6.41132460336294e-38,3
1795,-0.0034641016151373506,6.41132460336294e-38,-1
1796,-0.0034641016151373506,6.41132460336294e-38,-1
1797,-0.0034641016151373506,6.41132460336294e-38,-1
1798,-0.0034641016151373506,6.41132460336294e-38,-1
1799,-0.0034641016151373506,6.41132460336294e-38,-1
1800,-0.0034641016151373506,6.41132460336294e-38,-1
1801,-0.0034641016151373506,6.41132460336294e-38,-1
1802,-0.0034641016151373506,6.41132460336294e-38,-1
1803,-0.0034641016151373506,6.41132460336294e-38,3
1804,-0.0034641016151373506,6.41132460336294e-38,-1
1805,-0.0034641016151373506,6.41132460336294e-38,-1
1806,-0.0034641016151373506,6.41132460336294e-38,-1
1807,-0.0034641016151373506,6.41132460336294e-38,-1
1808,-0.0034641016151373506,6.41132460336294e-38,-1
1809,-0.0034641016151373506,6.41132460336294e-38,-1
1810,-0.0034641016151373506,6.41132460336294e-38,3
1811,-0.0034641016151373506,6.41132460336294e-38,-1
1812,-0.0034641016151373506,6.41132460336294e-38,-1
1813,-0.0034641016151373506,6.41132460336294e-38,-1
1814,-0.0034641016151373506,6.41132460336294e-38,3
1815,-0.0034641016151373506,6.41132460336294e-38,-1
1816,-0.0034641016151373506,6.41132460336294e-38,-1
1817,-0.0034641016151373506,6.41132460336294e-38,-1
1818,-0.0034641016151373506,6.41132460336294e-38,-1
1819,-0.0034641016151373506,6.41132460336294e-38,3
1820,-0.0034641016151373506,6.41132460336294e-38,-1
1821,-0.0034641016151373506,6.41132460336294e-38,3
1822,-0.0034641016151373506,6.41132460336294e-38,-1
1823,-0.0034641016151373506,6.41132460336294e-38,-1
1824,-0.0034641016151373506,6.41132460336294e-38,-1
1825,-0.0034641016151373506,6.41132460336294e-38,-1
1826,-0.0034641016151373506,6.41132460336294e-38,3
1827,-0.0034641016151373506,6.41132460336294e-38,-1
1828,-0.0034641016151373506,6.41132460336294e-38,-1
1829,-0.0034641016151373506,6.41132460336294e-38,-1
1830,-0.0034641016151373506,6.41132460336294e-38,-1
1831,-0.0034641016151373506,6.41132460336294e-38,-1
1832,-0.0034641016151373506,6.41132460336294e-38,-1
1833,-0.0034641016151373506,6.41132460336294e-38,-1
1834,-0.0034641016151373506,6.41132460336294e-38,-1
1835,-0.0034641016151373506,6.41132460336294e-38,-1
1836,-0.0034641016151373506,6.41132460336294e-38,-1
1837,-0.0034641016151373506,6.41132460336294e-38,-1
1838,-0.0034641016151373506,6.41132460336294e-38,-1
1839,-0.0034641016151373506,6.41132460336294e-38,3
1840,-0.0034641016151373506,6.41132460336294e-38,-1
1841,-0.0034641016151373506,6.41132460336294e-38,-1
1842,-0.0034641016151373506,6.41132460336294e-38,-1
1843,-0.0034641016151373506,6.41132460336294e-38,3
1844,-0.0034641016151373506,6.41132460336294e-38,3
1845,-0.0034641016151373506,6.41132460336294e-38,-1
1846,-0.0034641016151373506,6.41132460336294e-38,3
1847,-0.0034641016151373506,6.41132460336294e-38,3
1848,-0.0034641016151373506,6.41132460336294e-38,-1
1849,-0.0034641016151373506,6.41132460336294e-38,-1
1850,-0.0034641016151373506,6.41132460336294e-38,3
1851,-0.0034641016151373506,6.41132460336294e-38,3
1852,-0.0034641016151373506,6.41132460336294e-38,-1
1853,-0.0034641016151373506,6.41132460336294e-38,3
1854,-0.0034641016151373506,6.41132460336294e-38,-1
1855,-0.0034641016151373506,6.41132460336294e-38,3
1856,-0.0034641016151373506,6.41132460336294e-38,-1
1857,-0.0034641016151373506,6.41132460336294e-38,3
1858,-0.0034641016151373506,6.41132460336294e-38,-1
1859,-0.0034641016151373506,6.41132460336294e-38,-1
1860,-0.0034641016151373506,6.41132460336294e-38,3
1861,-0.0034641016151373506,6.41132460336294e-38,3
1862,-0.0034641016151373506,6.41132460336294e-38,-1
1863,-0.0034641016151373506,6.41132460336294e-38,3
1864,-0.0034641016151373506,6.41132460336294e-38,-1
1865,-0.0034641016151373506,6.41132460336294e-38,3
1866,-0.0034641016151373506,6.41132460336294e-38,3
1867,-0.0034641016151373506,6.41132460336294e-38,-1
1868,-0.0034641016151373506,6.41132460336294e-38,-1
1869,-0.0034641016151373506,6.41132460336294e-38,-1
1870,-0.0034641016151373506,6.41132460336294e-38,-1
1871,-0.0034641016151373506,6.41132460336294e-38,3
1872,-0.0034641016151373506,6.41132460336294e-38,-1
1873,-0.0034641016151373506,6.41132460336294e-38,-1
1874,-0.0034641016151373506,6.41132460336294e-38,-1
1875,-0.0034641016151373506,6.41132460336294e-38,-1
1876,-0.0034641016151373506,6.41132460336294e-38,-1
1877,-0.0034641016151373506,6.41132460336294e-38,-1
1878,-0.0034641016151373506,6.41132460336294e-38,-1
1879,-0.0034641016151373506,6.41132460336294e-38,3
1880,-0.0034641016151373506,6.41132460336294e-38,-1
1881,-0.0034641016151373506,6.41132460336294e-38,-1
1882,-0.0034641016151373506,6.41132460336294e-38,-1
1883,-0.0034641016151373506,6.41132460336294e-38,-1
1884,-0.0034641016151373506,6.41132460336294e-38,-1
1885,-0.0034641016151373506,6.41132460336294e-38,-1
1886,-0.0034641016151373506,6.41132460336294e-38,3
1887,-0.0034641016151373506,6.41132460336294e-38,-1
1888,-0.0034641016151373506,6.41132460336294e-38,3
1889,-0.0034641016151373506,6.41132460336294e-38,-1
1890,-0.0034641016151373506,6.41132460336294e-38,-1
1891,-0.0034641016151373506,6.41132460336294e-38,-1
1892,-0.0034641016151373506,6.41132460336294e-38,3
1893,-0.0034641016151373506,6.41132460336294e-38,-1
1894,-0.0034641016151373506,6.41132460336294e-38,3
1895,-0.0034641016151373506,6.41132460336294e-38,3
1896,-0.0034641016151373506,6.41132460336294e-38,3
1897,-0.0034641016151373506,6.41132460336294e-38,-1
1898,-0.0034641016151373506,6.41132460336294e-38,3
1899,-0.0034641016151373506,6.41132460336294e-38,3
1900,-0.0034641016151373506,6.41132460336294e-38,3
1901,-0.0034641016151373506,6.41132460336294e-38,3
1902,-0.0034641016151373506,6.41132460336294e-38,-1
1903,-0.0034641016151373506,6.41132460336294e-38,3
1904,-0.0034641016151373506,6.41132460336294e-38,3
1905,-0.0034641016151373506,6.41132460336294e-38,3
1906,-0.0034641016151373506,6.41132460336294e-38,-1
1907,-0.0034641016151373506,6.41132460336294e-38,3
1908,-0.0034641016151373506,6.41132460336294e-38,-1
1909,-0.0034641016151373506,6.41132460336294e-38,3
1910,-0.0034641016151373506,6.41132460336294e-38,-1
1911,-0.0034641016151373506,6.41132460336294e-38,-1
1912,-0.0034641016151373506,6.41132460336294e-38,-1
1913,-0.0034641016151373506,6.41132460336294e-38,-1
1914,-0.0034641016151373506,6.41132460336294e-38,-1
1915,-0.0034641016151373506,6.41132460336294e-38,-1
1916,-0.0034641016151373506,6.41132460336294e-38,-1
1917,-0.0034641016151373506,6.41132460336294e-38,-1
1918,-0.0034641016151373506,6.41132460336294e-38,-1
1919,-0.0034641016151373506,6.41132460336294e-38,-1
1920,-0.0034641016151373506,6.41132460336294e-38,-1
1921,-0.0034641016151373506,6.41132460336294e-38,-1
1922,-0.0034641016151373506,6.41132460336294e-38,-1
1923,-0.0034641016151373506,6.41132460336294e-38,-1
1924,-0.0034641016151373506,6.41132460336294e-38,-1
1925,-0.0034641016151373506,6.41132460336294e-38,-1
1926,-0.0034641016151373506,6.41132460336294e-38,-1
1927,-0.0034641016151373506,6.41132460336294e-38,-1
1928,-0.0034641016151373506,6.41132460336294e-38,-1
1929,-0.0034641016151373506,6.41132460336294e-38,-1
1930,-0.0034641016151373506,6.41132460336294e-38,-1
1931,-0.0034641016151373506,6.41132460336294e-38,-1
1932,-0.0034641016151373506,6.41132460336294e-38,3
1933,-0.0034641016151373506,6.41132460336294e-38,-1
1934,-0.0034641016151373506,6.41132460336294e-38,3
1935,-0.0034641016151373506,6.41132460336294e-38,-1
1936,-0.0034641016151373506,6.41132460336294e-38,3
1937,-0.0034641016151373506,6.41132460336294e-38,3
1938,-0.0034641016151373506,6.41132460336294e-38,-1
1939,-0.0034641016151373506,6.41132460336294e-38,-1
1940,-0.0034641016151373506,6.41132460336294e-38,-1
1941,-0.0034641016151373506,6.41132460336294e-38,3
1942,-0.0034641016151373506,6.41132460336294e-38,-1
1943,-0.0034641016151373506,6.41132460336294e-38,-1
1944,-0.0034641016151373506,6.41132460336294e-38,-1
1945,-0.0034641016151373506,6.41132460336294e-38,-1
1946,-0.0034641016151373506,6.41132460336294e-38,3
1947,-0.0034641016151373506,6.41132460336294e-38,-1
1948,-0.0034641016151373506,6.41132460336294e-38,-1
1949,-0.0034641016151373506,6.41132460336294e-38,-1
1950,-0.0034641016151373506,6.41132460336294e-38,-1
1951,-0.0034641016151373506,6.41132460336294e-38,3
1952,-0.0034641016151373506,6.41132460336294e-38,-1
1953,-0.0034641016151373506,6.41132460336294e-38,-1
1954,-0.0034641016151373506,6.41132460336294e-38,3
1955,-0.0034641016151373506,6.41132460336294e-38,-1
1956,-0.0034641016151373506,6.41132460336294e-38,-1
1957,-0.0034641016151373506,6.41132460336294e-38,-1
1958,-0.0034641016151373506,6.41132460336294e-38,-1
1959,-0.0034641016151373506,6.41132460336294e-38,-1
1960,-0.0034641016151373506,6.41132460336294e-38,-1
1961,-0.0034641016151373506,6.41132460336294e-38,-1
1962,-0.0034641016151373506,6.41132460336294e-38,3
1963,-0.0034641016151373506,6.41132460336294e-38,3
1964,-0.0034641016151373506,6.41132460336294e-38,-1
1965,-0.0034641016151373506,6.41132460336294e-38,-1
1966,-0.0034641016151373506,6.41132460336294e-38,-1
1967,-0.0034641016151373506,6.41132460336294e-38,-1
1968,-0.0034641016151373506,6.41132460336294e-38,-1
1969,-0.0034641016151373506,6.41132460336294e-38,3
1970,-0.0034641016151373506,6.41132460336294e-38,3
1971,-0.0034641016151373506,6.41132460336294e-38,3
1972,-0.0034641016151373506,6.41132460336294e-38,3
1973,-0.0034641016151373506,6.41132460336294e-38,3
1974,-0.0034641016151373506,6.41132460336294e-38,3
1975,-0.0034641016151373506,6.41132460336294e-38,3
1976,-0.0034641016151373506,6.41132460336294e-38,3
1977,-0.0034641016151373506,6.41132460336294e-38,-1
1978,-0.0034641016151373506,6.41132460336294e-38,-1
1979,-0.0034641016151373506,6.41132460336294e-38,-1
1980,-0.0034641016151373506,6.41132460336294e-38,-1
1981,-0.0034641016151373506,6.41132460336294e-38,-1
1982,-0.0034641016151373506,6.41132460336294e-38,3
1983,-0.0034641016151373506,6.41132460336294e-38,-1
1984,-0.0034641016151373506,6.41132460336294e-38,-1
1985,-0.0034641016151373506,6.41132460336294e-38,-1
1986,-0.0034641016151373506,6.41132460336294e-38,3
1987,-0.0034641016151373506,6.41132460336294e-38,-1
1988,-0.0034641016151373506,6.41132460336294e-38,3
1989,-0.0034641016151373506,6.41132460336294e-38,-1
1990,-0.0034641016151373506,6.41132460336294e-38,-1
1991,-0.0034641016151373506,6.41132460336294e-38,-1
1992,-0.0034641016151373506,6.41132460336294e-38,3
1993,-0.0034641016151373506,6.41132460336294e-38,-1
1994,-0.0034641016151373506,6.41132460336294e-38,-1
1995,-0.0034641016151373506,6.41132460336294e-38,-1
1996,-0.0034641016151373506,6.41132460336294e-38,-1
1997,-0.0034641016151373506,6.41132460336294e-38,-1
1998,-0.0034641016151373506,6.41132460336294e-38,3
1999,-0.0034641016151373506,6.41132460336294e-38,3
